Nombre,Imagen,Vida,Ataque,Defensa,Velocidad,Porcentaje,Tipo,Percepcion
Calabaza,com/enriquealberto/imagenes/calabazaLuchador.png,3,3,3,3,0,3,6
Melón,com/enriquealberto/imagenes/melonZombie.png,3,4,3,4,0,3,6
Coco,com/enriquealberto/imagenes/cocotanque.png,4,3,4,3,0,3,6
Berenjena,com/enriquealberto/imagenes/berenjenaLuchador.png,4,5,4,5,0,3,6
Uva,com/enriquealberto/imagenes/uvaluchador.png,1,1,1,1,0,1,2
Pasa,com/enriquealberto/imagenes/pasazombie.png,1,2,1,2,0,1,2
Fresa,com/enriquealberto/imagenes/fresamaga.png,2,1,2,1,0,1,2
Naranja,com/enriquealberto/imagenes/naranjaTanque.png,2,2,2,2,0,2,4
Plátano,com/enriquealberto/imagenes/platanoZombie.png,2,3,2,3,0,2,4
Kiwi,com/enriquealberto/imagenes/kiwiGuerrero.png,3,2,3,2,0,2,4
piñaasquerosa,com/enriquealberto/imagenes/piñaMaga.jpg,3,2,3,2,0,4,5
